latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.677717,-73.898425,400.0,10,6,4,"https://www.google.com/maps/search/?api=1&query=40.677717,-73.898425",JAMAICA AV/FANCHON PL
40.689224,-73.874067,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.689224,-73.874067",JAMAICA AV/CRESCENT ST
40.689797,-73.872708,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.689797,-73.872708",JAMAICA AV/HEMLOCK ST
40.677162,-73.899167,400.0,18,6,5,"https://www.google.com/maps/search/?api=1&query=40.677162,-73.899167",JAMAICA AV/GEORGIA AV
40.678296,-73.896997,400.0,8,6,2,"https://www.google.com/maps/search/?api=1&query=40.678296,-73.896997",JAMAICA AV/PENNSYLVANIA AV
40.679252,-73.894923,400.0,6,4,2,"https://www.google.com/maps/search/?api=1&query=40.679252,-73.894923",JAMAICA AV/WYONA ST
40.679635,-73.894118,400.0,4,2,2,"https://www.google.com/maps/search/?api=1&query=40.679635,-73.894118",JAMAICA AV/BRADFORD ST
40.680654,-73.891997,400.0,3,1,2,"https://www.google.com/maps/search/?api=1&query=40.680654,-73.891997",JAMAICA AV/VAN SICLEN AV
40.681467,-73.890263,400.0,1,1,0,"https://www.google.com/maps/search/?api=1&query=40.681467,-73.890263",JAMAICA AV/SCHENCK AV
40.682035,-73.889135,400.0,1,1,0,"https://www.google.com/maps/search/?api=1&query=40.682035,-73.889135",JAMAICA AV/JEROME ST
40.682438,-73.888287,400.0,1,1,0,"https://www.google.com/maps/search/?api=1&query=40.682438,-73.888287",JAMAICA AV/WARWICK ST
40.683862,-73.885271,400.0,1,1,0,"https://www.google.com/maps/search/?api=1&query=40.683862,-73.885271",JAMAICA AV/ELTON ST
40.685094,-73.882626,400.0,1,1,0,"https://www.google.com/maps/search/?api=1&query=40.685094,-73.882626",JAMAICA AV/SHEPHERD AV
40.685919,-73.880875,400.0,1,1,0,"https://www.google.com/maps/search/?api=1&query=40.685919,-73.880875",JAMAICA AV/HALE AV
