latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,stop_name
40.748603,-73.984667,400.0,74,61,12,"https://www.google.com/maps/search/?api=1&query=40.748603,-73.984667",W 34 ST/5 AV
40.755988,-73.983132,400.0,74,59,15,"https://www.google.com/maps/search/?api=1&query=40.755988,-73.983132",6 AV/W 44 ST
40.760335,-73.979922,400.0,71,59,12,"https://www.google.com/maps/search/?api=1&query=40.760335,-73.979922",6 AV/W 51 ST
40.760391,-73.968015,400.0,61,50,10,"https://www.google.com/maps/search/?api=1&query=40.760391,-73.968015",E 57 ST/ 3 AV
40.762384,-73.972752,400.0,72,66,6,"https://www.google.com/maps/search/?api=1&query=40.762384,-73.972752",E 57 ST/MADISON AV
40.764119,-73.97718,400.0,62,57,5,"https://www.google.com/maps/search/?api=1&query=40.764119,-73.97718",6 AV/W 57 ST
40.752159,-73.985874,400.0,81,66,14,"https://www.google.com/maps/search/?api=1&query=40.752159,-73.985874",6 AV/W 38 ST
40.747646,-73.98234,400.0,66,63,3,"https://www.google.com/maps/search/?api=1&query=40.747646,-73.98234",E 34 ST/PARK AV
40.652627,-73.838457,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.652627,-73.838457",CROSS BAY BL/163 AV
40.659283,-73.840092,400.0,7,7,0,"https://www.google.com/maps/search/?api=1&query=40.659283,-73.840092",CROSS BAY BL/159 AV
40.607873,-73.819479,400.0,7,5,2,"https://www.google.com/maps/search/?api=1&query=40.607873,-73.819479",CROSS BAY BL/NOEL RD
40.586479,-73.815197,400.0,9,7,2,"https://www.google.com/maps/search/?api=1&query=40.586479,-73.815197",ROCKAWAY BEACH BL/BEACH 92 ST
40.588118,-73.805263,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.588118,-73.805263",ROCKAWAY BEACH BL/BEACH 79 ST
40.588383,-73.804486,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.588383,-73.804486",ROCKAWAY BEACH BL/BEACH 77 ST
40.59276,-73.795861,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.59276,-73.795861",BEACH CHANNEL DR/BEACH 67 ST
40.592953,-73.796423,400.0,5,4,1,"https://www.google.com/maps/search/?api=1&query=40.592953,-73.796423",BEACH CHANNEL DR/BEACH 67 ST
40.594972,-73.78476,400.0,4,4,0,"https://www.google.com/maps/search/?api=1&query=40.594972,-73.78476",BEACH CHANNEL DR/BEACH 54 ST
