latitude,longitude,radius_searched,number_of_stops,number_of_bus_stops,number_of_metro_stops,google_maps_link,zipcode,number_of_requests_of_bikes_in_building
40.75252,-73.97307,400.0,45,26,6,"https://www.google.com/maps/search/?api=1&40.75252,-73.97307",10017,411
40.75835,-73.96800,400.0,55,49,6,"https://www.google.com/maps/search/?api=1&40.75835,-73.96800",10022,314,
40.76719,-73.99181,400.0,5,5,0,"https://www.google.com/maps/search/?api=1&40.76719,-73.99181",10019,255
40.75948,-73.98987,400.0,103,100,3,"https://www.google.com/maps/search/?api=1&40.75948,-73.98987",10036,195
40.75286,-73.97610,400.0,78,58,7,"https://www.google.com/maps/search/?api=1&40.75286,-73.97610",10170,74
40.75891,-73.97902,400.0,73,67,6,"https://www.google.com/maps/search/?api=1&40.75891,-73.97902",10020,72
40.75080,-73.99612,400.0,65,28,3,"https://www.google.com/maps/search/?api=1&40.75080,-73.99612",10001,61
40.70580,-74.01860,400.0,34,32,2,"https://www.google.com/maps/search/?api=1&40.70580,-74.01860",10281,60
40.73863,-73.98294,400.0,33,30,3,"https://www.google.com/maps/search/?api=1&40.73863,-73.98294",10010,59
40.69460,-73.99064,400.0,25,14,11,"https://www.google.com/maps/search/?api=1&40.69460,-73.99064",11201,55
40.72557,-73.99821,400.0,25,13,12,"https://www.google.com/maps/search/?api=1&40.72557,-73.99821",10012,53
40.73139,-73.98840,400.0,26,17,9,"https://www.google.com/maps/search/?api=1&40.73139,-73.98840",10003,48
40.75526,-73.99668,400.0,13,13,0,"https://www.google.com/maps/search/?api=1&40.75526,-73.99668",10018,46
40.75240,-73.98300,400.0,76,68,8,"https://www.google.com/maps/search/?api=1&40.75240,-73.98300",10168,45
40.70793,-74.01333,400.0,45,35,10,"https://www.google.com/maps/search/?api=1&40.70793,-74.01333",10006,44
40.74459,-73.97809,400.0,33,30,3,"https://www.google.com/maps/search/?api=1&40.74459,-73.97809",10016,42
40.70879,-74.00322,400.0,22,20,2,"https://www.google.com/maps/search/?api=1&40.70879,-74.00322",10038,38
40.70617,-74.00860,400.0,50,30,6,"https://www.google.com/maps/search/?api=1&40.70617,-74.00860",10005,35
40.69320,-73.99120,400.0,26,15,11,"https://www.google.com/maps/search/?api=1&40.69320,-73.99120",11241,30
40.76590,-73.98140,400.0,28,16,12,"https://www.google.com/maps/search/?api=1&40.76590,-73.98140",10107,29
40.69538,-74.02653,400.0,0,0,0,"https://www.google.com/maps/search/?api=1&40.69538,-74.02653",10004,28
40.71422,-74.00817,400.0,45,30,13,"https://www.google.com/maps/search/?api=1&40.71422,-74.00817",10007,28
40.74790,-73.97930,400.0,68,65,3,"https://www.google.com/maps/search/?api=1&40.74790,-73.97930",10178,26
40.74870,-73.98620,400.0,70,60,9,"https://www.google.com/maps/search/?api=1&40.74870,-73.98620",10120,19
40.75640,-73.98270,400.0,73,61,12,"https://www.google.com/maps/search/?api=1&40.75640,-73.98270",10175,19
40.74406,-74.00459,400.0,6,6,0,"https://www.google.com/maps/search/?api=1&40.74406,-74.00459",10011,19
40.75521,-73.97608,400.0,74,56,5,"https://www.google.com/maps/search/?api=1&40.75521,-73.97608",10177,15
40.70312,-74.01002,400.0,48,23,8,"https://www.google.com/maps/search/?api=1&40.70312,-74.01002",10041,14
40.76374,-73.97268,400.0,67,64,3,"https://www.google.com/maps/search/?api=1&40.76374,-73.97268",10153,14
40.75515,-73.97497,400.0,75,59,3,"https://www.google.com/maps/search/?api=1&40.75515,-73.97497",10167,13
40.76440,-73.97800,400.0,52,44,8,"https://www.google.com/maps/search/?api=1&40.76440,-73.97800",10105,12
40.72092,-74.00888,400.0,20,15,5,"https://www.google.com/maps/search/?api=1&40.72092,-74.00888",10013,10
